model,seq_length,features,feature_count,scaler,test_size,val_split,training_time,rmse,mae,r2,mape,units,dropout_rate,optimizer,batch_size,epochs,n_estimators,max_depth
GRU,20,Close_Volume,2,MinMaxScaler,0.2,0.2,10.45664119720459,2840.9660748727483,2177.068982506658,0.8509741245178131,0.023550293375898104,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close,1,RobustScaler,0.2,0.2,11.654432773590088,2842.6876415940533,2261.6685372389943,0.8495835251393856,0.024102229909737462,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close,1,MinMaxScaler,0.2,0.2,13.08188533782959,2861.4424471381712,2216.7669817990577,0.8488181633706646,0.023946119892159057,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close_Volume,2,MinMaxScaler,0.2,0.2,8.326618194580078,2900.2306668760475,2208.8113849492966,0.8434322882417488,0.023932371785415855,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close,1,MinMaxScaler,0.2,0.2,11.986067533493042,2954.118034832969,2287.624473945239,0.8405944317833256,0.024733482983692396,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close,1,MinMaxScaler,0.2,0.2,8.755232810974121,2982.368562897102,2319.0403207189643,0.8344383487929596,0.025052290925796212,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close,1,RobustScaler,0.2,0.2,20.074243783950806,3028.5573229249517,2375.050968925368,0.8324596586088886,0.025370758194071263,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,12.05027174949646,3044.599941439342,2355.410430561482,0.8288448167143541,0.025335703524373053,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,9.779403686523438,3080.1366620315735,2371.0590070274447,0.826704305918009,0.02561789774758401,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Volume,2,MinMaxScaler,0.2,0.2,9.548032283782959,3127.253269973713,2366.289862427045,0.8213619742846605,0.025695108823216392,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,5.737466335296631,3139.6571151148732,2370.7599163509426,0.8165145778459038,0.02571759423782086,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close,1,RobustScaler,0.2,0.2,15.009249448776245,3144.5369512586917,2545.9231151552785,0.8174242928387394,0.027008589401317444,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close_Volume,2,RobustScaler,0.2,0.2,9.548959016799927,3226.1387045076826,2554.560402908156,0.8078255452566295,0.02732911115352647,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Volume,2,RobustScaler,0.2,0.2,11.774188995361328,3384.1916472420867,2639.9548225875624,0.790801918145938,0.028148903775169543,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,10.344946146011353,3408.547000139322,2665.051824511031,0.7854798163111463,0.028371246636004727,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,6.523635149002075,3440.879137118885,2697.910693019745,0.7837348026901694,0.028805282341512053,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close_Volume,2,RobustScaler,0.2,0.2,8.783863544464111,3462.6970158566774,2724.1201818885115,0.7768144316023504,0.029117606124866125,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close,1,StandardScaler,0.2,0.2,16.51395559310913,3508.2637988840656,2895.7980686529518,0.7751813767930207,0.030452064984997904,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Volume,2,StandardScaler,0.2,0.2,7.523201942443848,3606.260472046737,2671.2254488685053,0.7624461994435189,0.029377781947507235,64.0,0.2,adam,32.0,50.0,,
GRU,20,Close,1,StandardScaler,0.2,0.2,15.053553342819214,3611.3843578760448,3000.059291381923,0.7591886170535767,0.031573223073565915,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,10,Close_Volume,2,MinMaxScaler,0.2,0.2,11.203884601593018,3670.6986469552307,2938.14024593724,0.7491959258933045,0.03151891232065494,64.0,0.3,adam,32.0,50.0,,
GRU,20,Close_Open_High_Low_Volume,5,StandardScaler,0.2,0.2,6.1141040325164795,3712.7188109895055,2828.4784191184667,0.7454848121285732,0.029990397945645963,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,10,Close,1,StandardScaler,0.2,0.2,7.399993896484375,3770.03873899949,2912.246765722573,0.7354372177475486,0.03186215054979629,64.0,0.3,adam,32.0,50.0,,
LSTM,10,Close,1,MinMaxScaler,0.2,0.2,6.749830007553101,3822.0643049324035,2993.8345564955816,0.7280850394495866,0.03256625666686334,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,10,Close,1,MinMaxScaler,0.2,0.2,10.829544305801392,3858.644760175384,3049.0501301029744,0.7228552097817347,0.03251158143788398,64.0,0.3,adam,32.0,50.0,,
GRU,20,Close_Volume,2,StandardScaler,0.2,0.2,8.240232467651367,3897.1893089684622,3040.8730484493726,0.7195647570581164,0.03205790839234764,64.0,0.2,adam,32.0,50.0,,
GRU,30,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,13.114910364151001,3939.018989249288,3026.8339691838373,0.7165842712669657,0.03192860380324072,64.0,0.2,adam,32.0,50.0,,
Bidirectional LSTM,30,Close_Volume,2,MinMaxScaler,0.2,0.2,16.053560256958008,3988.5101991054908,3280.9070134009708,0.70941766211078,0.03472675711566784,64.0,0.3,adam,32.0,50.0,,
LSTM,10,Close_Volume,2,MinMaxScaler,0.2,0.2,9.248806476593018,4100.036907680625,3354.451604278532,0.6870948898165321,0.03575184758514281,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close,1,StandardScaler,0.2,0.2,11.921462297439575,4102.431233905035,3471.6067850246304,0.6867293244888404,0.03647708525606593,64.0,0.2,adam,32.0,50.0,,
GRU,10,Close_Open_High_Low_Volume,5,RobustScaler,0.2,0.2,9.738407135009766,4207.681529647748,3357.6601395014604,0.6704488384838063,0.035401141771837355,64.0,0.2,adam,32.0,50.0,,
LSTM,20,Close,1,MinMaxScaler,0.2,0.2,13.735057830810547,4290.986041632502,3441.7638161807854,0.6600274990183558,0.0364479708422027,64.0,0.2,adam,32.0,50.0,,
LSTM,10,Close_Open_High_Low_Volume,5,MinMaxScaler,0.2,0.2,8.489264249801636,4437.530079841647,3651.8918438078686,0.6334613774851545,0.03863958828711471,64.0,0.2,adam,32.0,50.0,,
LSTM,30,Close_Volume,2,MinMaxScaler,0.2,0.2,10.381723642349243,4439.202217974962,3629.612369588509,0.6400371702066061,0.0386379701276387,64.0,0.2,adam,32.0,50.0,,
LSTM,20,Close_Volume,2,MinMaxScaler,0.2,0.2,13.271992683410645,4567.183251587909,3814.9382352764724,0.6148530515100945,0.04043609748413094,64.0,0.2,adam,32.0,50.0,,
